Country,Continent,Year,TotalPopulation,CO2_Emission,TotalEnergy_Consumption
Egypt,Africa,1992,58666814,80.35,33
Nigeria,Africa,1992,100161710,40.14,72
South Africa,Africa,1992,38672611,244.93,88
Iran,Asia,1992,58780370,218.17,81
Kuwait,Asia,1992,NA,22.5,9
Saudi Arabia,Asia,1992,17282691,176.78,77
United Arab Emirates,Asia,1992,2052891,56.91,22
Belgium,Europe,1993,10084475,108.33,49
Czech Republic,Europe,1993,10329855,130.39,43
France,Europe,1993,59106768,362.7,238
Germany,Europe,1993,81156363,883.96,335
Italy,Europe,1993,56831821,392.45,149
Netherlands,Europe,1993,15290368,173.51,70
Poland,Europe,1993,38461408,345.3,101
Portugal,Europe,1993,9964675,43.86,18
Romania,Europe,1993,22763280,118.48,46
Spain,Europe,1993,39361262,210.73,91
Sweden,Europe,1993,8718561,52.52,46
United Kingdom,Europe,1993,57718614,541.35,215
Norway,Europe,1993,4311991,31.19,24
Turkey,Asia,1993,56653804,145.61,56
Kazakhstan,Asia,1993,16380672,212.45,66
Russia,Asia,1993,148458777,1848.61,751
Ukraine,Europe,1993,52179200,502.57,195
Uzbekistan,Asia,1993,21942000,112.78,47
Canada,North America,1993,28684764,435.14,223
United States,North America,1993,259919000,5014.93,1998
Argentina,South America,1993,33970111,108.25,50
Brazil,South America,1993,156849078,211.1,148
Chile,South America,1993,13944937,32.4,16
Colombia,South America,1993,35091272,52.56,26
Mexico,North America,1993,88625440,291.58,133
Venezuela,South America,1993,21016901,100.6,43
China,Asia,1993,1178440000,2633.38,929
India,Asia,1993,927403860,624.4,338
Indonesia,Asia,1993,190851175,182.99,118
Japan,Asia,1993,124536000,1050.27,458
Malaysia,Asia,1993,19484898,70.17,32
South Korea,Asia,1993,21265834,317.4,125
Taiwan,Asia,1993,21044700,142.03,58
Thailand,Asia,1993,58337773,111.14,51
Australia,Oceania,1993,17667000,270.7,91
New Zealand,Oceania,1993,3572200,23.43,15
Algeria,Africa,1993,27635515,59.19,24
Egypt,Africa,1993,59880658,82.11,34
Nigeria,Africa,1993,102700753,36.64,74
South Africa,Africa,1993,39633754,252.59,94
Iran,Asia,1993,59723764,219.63,87
Kuwait,Asia,1993,NA,28.8,12
Saudi Arabia,Asia,1993,17763298,187.36,80
United Arab Emirates,Asia,1993,2173139,59.99,24
Belgium,Europe,1994,10115603,113.76,52
Czech Republic,Europe,1994,10333587,125.07,41
France,Europe,1994,59327192,356.07,231
Germany,Europe,1994,81438348,869.54,333
Italy,Europe,1994,56843400,387.89,147
Netherlands,Europe,1994,15382838,174.22,70
Poland,Europe,1994,38542652,338.37,96
Portugal,Europe,1994,9991525,45.28,18
Romania,Europe,1994,22730211,113.6,43
Spain,Europe,1994,39549108,219.33,96
Sweden,Europe,1994,8780745,55.3,50
United Kingdom,Europe,1994,57865745,532.9,216
Norway,Europe,1994,4336613,32.7,23
Turkey,Asia,1994,57564204,144,56
Kazakhstan,Asia,1994,16145766,192.19,58
Russia,Asia,1994,148407912,1629.1,657
Ukraine,Europe,1994,51921400,416.1,166
Uzbekistan,Asia,1994,22377000,110.14,47
Canada,North America,1994,29000663,451.6,231
United States,North America,1994,263126000,5095.36,2036
Argentina,South America,1994,34402672,116.09,53
Brazil,South America,1994,159432716,218.96,156
Chile,South America,1994,14166340,35.63,17
Colombia,South America,1994,35758978,52.62,27
Mexico,North America,1994,90156400,316.06,136
Venezuela,South America,1994,21474549,100.93,50
China,Asia,1994,1191835000,2758.92,973
India,Asia,1994,945601831,664.87,351
Indonesia,Asia,1994,193917462,194,119
Japan,Asia,1994,124961000,1099.08,482
Malaysia,Asia,1994,19977500,75.33,32
South Korea,Asia,1994,21577982,342.47,133
Taiwan,Asia,1994,21207423,150.59,60
Thailand,Asia,1994,58875269,125.04,57
Australia,Oceania,1994,17855000,275.24,91
New Zealand,Oceania,1994,3620000,23.98,15
Algeria,Africa,1994,28213774,56.34,23
Egypt,Africa,1994,61095804,77.15,33
Nigeria,Africa,1994,105293700,30.85,72
South Africa,Africa,1994,40564061,257.66,98
Iran,Asia,1994,60590614,248.79,97
Kuwait,Asia,1994,NA,33.37,14
Saudi Arabia,Asia,1994,18214470,199.49,84
United Arab Emirates,Asia,1994,2294385,65.88,26
Belgium,Europe,1995,10136811,114.25,53
Czech Republic,Europe,1995,10327253,126.07,42
France,Europe,1995,59541899,366.56,240
Germany,Europe,1995,81678051,868.32,336
Italy,Europe,1995,56844303,410.53,159
Netherlands,Europe,1995,15459006,179.37,73
Poland,Europe,1995,38594998,338.94,99
Portugal,Europe,1995,10026176,48.71,20
Romania,Europe,1995,22684270,117.11,47
Spain,Europe,1995,39724050,231.53,101
Sweden,Europe,1995,8826939,55.07,50
United Kingdom,Europe,1995,58019030,523.5,217
Norway,Europe,1995,4359184,32.13,24
Turkey,Asia,1995,58486456,157.86,61
Kazakhstan,Asia,1995,15816243,167.58,52
Russia,Asia,1995,148375787,1582.61,636
Ukraine,Europe,1995,51512800,415.02,164
Uzbekistan,Asia,1995,22785000,99.71,43
Canada,North America,1995,29302311,460.99,234
United States,North America,1995,266278000,5149.52,2063
Argentina,South America,1995,34828170,120.21,54
Brazil,South America,1995,162019896,235.73,162
Chile,South America,1995,14380866,38.79,18
Colombia,South America,1995,36421438,55.14,28
Mexico,North America,1995,91663285,298,132
Venezuela,South America,1995,21931084,106.85,47
China,Asia,1995,1204855000,2946.93,1045
India,Asia,1995,963922588,723.57,371
Indonesia,Asia,1995,196934260,216.32,131
Japan,Asia,1995,125439000,1109.37,495
Malaysia,Asia,1995,20487607,82.45,34
South Korea,Asia,1995,21862299,371.89,146
Taiwan,Asia,1995,21356033,159.55,64
Thailand,Asia,1995,59467274,141.06,62
Australia,Oceania,1995,18072000,285.39,93
New Zealand,Oceania,1995,3673400,24.51,15
Algeria,Africa,1995,28757785,56.82,24
Egypt,Africa,1995,62334034,82.65,35
Nigeria,Africa,1995,107948335,33.2,73
South Africa,Africa,1995,41435761,273.74,104
Iran,Asia,1995,61442664,254.72,101
Kuwait,Asia,1995,1605901,33.32,15
Saudi Arabia,Asia,1995,18638787,198.64,85
United Arab Emirates,Asia,1995,2415090,69.97,28
Belgium,Europe,1996,10156637,119.79,56
Czech Republic,Europe,1996,10315241,127.23,43
France,Europe,1996,59753100,380.67,251
Germany,Europe,1996,81914831,894.33,348
Italy,Europe,1996,56860281,408.21,159
Netherlands,Europe,1996,15530498,188.59,77
Poland,Europe,1996,38624370,353.41,104
Portugal,Europe,1996,10063945,46.75,20
Romania,Europe,1996,22619004,121.94,48
Spain,Europe,1996,39889852,221.59,99
Sweden,Europe,1996,8840998,60.46,51
United Kingdom,Europe,1996,58166950,544.65,226
Norway,Europe,1996,4381336,33,23
Turkey,Asia,1996,59423282,173.63,66
Kazakhstan,Asia,1996,15578227,146.17,45
Russia,Asia,1996,148160129,1564.5,630
Ukraine,Europe,1996,51057800,350.22,150
Uzbekistan,Asia,1996,23225000,100.99,44
Canada,North America,1996,29610218,476.16,239
United States,North America,1996,269394000,5317.44,2108
Argentina,South America,1996,35246374,126.85,56
Brazil,South America,1996,164614688,254.25,170
Chile,South America,1996,14587370,44.74,20
Colombia,South America,1996,37076387,55.07,28
Mexico,North America,1996,93147044,310.74,135
Venezuela,South America,1996,22385650,114.89,50
China,Asia,1996,1217550000,2942.54,1074
India,Asia,1996,982365243,758.68,383
Indonesia,Asia,1996,199901228,233.98,136
Japan,Asia,1996,125757000,1121.79,506
Malaysia,Asia,1996,21017613,92.92,38
South Korea,Asia,1996,22113438,395.51,158
Taiwan,Asia,1996,21488990,168.15,67
Thailand,Asia,1996,60130186,159.28,69
Australia,Oceania,1996,18311000,295.35,99
New Zealand,Oceania,1996,3732000,25.92,16
Algeria,Africa,1996,29266405,56.16,23
Egypt,Africa,1996,63601629,87.04,37
Nigeria,Africa,1996,110668794,36.93,76
South Africa,Africa,1996,42241007,284.08,107
Iran,Asia,1996,62294920,262.14,98
Kuwait,Asia,1996,1626857,32.42,15
Saudi Arabia,Asia,1996,19033845,211.52,90
United Arab Emirates,Asia,1996,2539126,73.06,29
Belgium,Europe,1997,10181245,116.36,56
Czech Republic,Europe,1997,10304131,125.1,43
France,Europe,1997,59964851,371.97,244
Germany,Europe,1997,82034771,863.15,345
Italy,Europe,1997,56890372,412.04,162
Netherlands,Europe,1997,15610650,183.26,75
Poland,Europe,1997,38649660,342.89,102
Portugal,Europe,1997,10108977,48.99,21
Romania,Europe,1997,22553978,112.52,45
Spain,Europe,1997,40057389,240.82,106
Sweden,Europe,1997,8846062,55.05,50
United Kingdom,Europe,1997,58316954,519.8,219
Norway,Europe,1997,4405157,34.75,24
Turkey,Asia,1997,60372568,182.61,70
Kazakhstan,Asia,1997,15334405,123.21,39
Russia,Asia,1997,147915361,1471.68,602
Ukraine,Europe,1997,50594600,334.7,143
Uzbekistan,Asia,1997,23667000,103.08,45
Canada,North America,1997,29905948,492.81,241
United States,North America,1997,272657000,5583.56,2130
Argentina,South America,1997,35657429,132.17,58
Brazil,South America,1997,167209040,271.28,179
Chile,South America,1997,14786220,51.95,23
Colombia,South America,1997,37723803,59.45,27
Mexico,North America,1997,94611002,327.51,142
Venezuela,South America,1997,22837743,119.5,50
China,Asia,1997,1230075000,2971.94,1073
India,Asia,1997,1000900030,791.38,398
Indonesia,Asia,1997,202826446,253.71,140
Japan,Asia,1997,126057000,1110.65,511
Malaysia,Asia,1997,21562793,100.15,44
South Korea,Asia,1997,22335267,418.41,172
Taiwan,Asia,1997,21608306,181.54,71
Thailand,Asia,1997,60846582,163.28,71
Australia,Oceania,1997,18517000,304.24,101
New Zealand,Oceania,1997,3781300,28.27,16
Algeria,Africa,1997,29742979,58.06,24
Egypt,Africa,1997,64892270,93.74,39
Nigeria,Africa,1997,113457663,41.58,79
South Africa,Africa,1997,42987456,298.93,109
Iran,Asia,1997,63136312,276.53,109
Kuwait,Asia,1997,1710256,33.54,15
Saudi Arabia,Asia,1997,19407142,213.99,86
United Arab Emirates,Asia,1997,2671362,77.02,31
Belgium,Europe,1998,10203008,119.13,57
Czech Republic,Europe,1998,10294373,119.33,42
France,Europe,1998,60186288,394.98,252
Germany,Europe,1998,82047195,860.05,343
Italy,Europe,1998,56906744,422.41,166
Netherlands,Europe,1998,15707209,183.59,75
Poland,Europe,1998,38663481,317.29,95
Portugal,Europe,1998,10160196,53.74,23
Romania,Europe,1998,22507344,97.96,41
Spain,Europe,1998,40223509,249.19,111
Sweden,Europe,1998,8850974,55.9,51
United Kingdom,Europe,1998,58487141,525.95,221
Norway,Europe,1998,4431464,36.41,25
Turkey,Asia,1998,61329676,183.53,71
Kazakhstan,Asia,1998,15071640,125.76,39
Russia,Asia,1998,147670784,1454.71,588
Ukraine,Europe,1998,50144500,317.62,136
Uzbekistan,Asia,1998,24051000,116.37,50
Canada,North America,1998,30155173,497.67,240
United States,North America,1998,275854000,5620.12,2148
Argentina,South America,1998,36063459,136.01,60
Brazil,South America,1998,169785250,278.76,183
Chile,South America,1998,14977733,53.04,24
Colombia,South America,1998,38364307,60.48,29
Mexico,North America,1998,96056321,349.86,146
Venezuela,South America,1998,23288564,120.22,52
China,Asia,1998,1241935000,3087.85,1079
India,Asia,1998,1019483581,808.07,407
Indonesia,Asia,1998,205724592,256.2,137
Japan,Asia,1998,126400000,1072.05,502
Malaysia,Asia,1998,22114654,100.27,42
South Korea,Asia,1998,22536753,361.09,158
Taiwan,Asia,1998,21721516,192.08,75
Thailand,Asia,1998,61585103,148.51,66
Australia,Oceania,1998,18711000,324.08,104
New Zealand,Oceania,1998,3815000,27.4,16
Algeria,Africa,1998,30192754,59.48,25
Egypt,Africa,1998,66200269,98.94,42
Nigeria,Africa,1998,116319759,37.63,80
South Africa,Africa,1998,43682259,306.6,111
Iran,Asia,1998,63971836,280.08,111
Kuwait,Asia,1998,1831119,39.71,17
Saudi Arabia,Asia,1998,19783304,228.9,92
United Arab Emirates,Asia,1998,2813214,78.86,32
Belgium,Europe,1999,10226419,115.06,57
Czech Republic,Europe,1999,10283860,111.81,39
France,Europe,1999,60496718,389.99,252
Germany,Europe,1999,82100243,828.43,335
Italy,Europe,1999,56916317,427.46,169
Netherlands,Europe,1999,15812088,178.46,74
Poland,Europe,1999,38660271,308.91,93
Portugal,Europe,1999,10217828,60.21,24
Romania,Europe,1999,22472040,84.01,36
Spain,Europe,1999,40386875,270.35,116
Sweden,Europe,1999,8857874,54.46,50
United Kingdom,Europe,1999,58682466,523.09,222
Norway,Europe,1999,4461913,37.73,26
Turkey,Asia,1999,62287397,181.96,70
Kazakhstan,Asia,1999,14928374,113.03,36
Russia,Asia,1999,147214776,1501.93,609
Ukraine,Europe,1999,49674000,314.85,135
Uzbekistan,Asia,1999,24311650,117.66,51
Canada,North America,1999,30401286,508.97,247
United States,North America,1999,279040000,5653.57,2206
Argentina,South America,1999,36467218,139.65,61
Brazil,South America,1999,172318675,287.94,187
Chile,South America,1999,15162800,56.68,25
Colombia,South America,1999,38999468,52.86,26
Mexico,North America,1999,97484832,341.91,150
Venezuela,South America,1999,23739841,108.99,50
China,Asia,1999,1252735000,2999.15,1099
India,Asia,1999,1038058156,872.35,431
Indonesia,Asia,1999,208615169,277.43,144
Japan,Asia,1999,126631000,1108.95,510
Malaysia,Asia,1999,22661298,108.6,42
South Korea,Asia,1999,22731482,394.94,174
Taiwan,Asia,1999,21838633,200.03,79
Thailand,Asia,1999,62298571,154.71,71
Australia,Oceania,1999,18926000,329.7,106
New Zealand,Oceania,1999,3835100,29,17
Algeria,Africa,1999,30623406,63.24,27
Egypt,Africa,1999,67515591,103.94,42
Nigeria,Africa,1999,119260063,39.46,83
South Africa,Africa,1999,44338551,289.74,109
Iran,Asia,1999,64800880,305.89,126
Kuwait,Asia,1999,1951636,43.77,18
Saudi Arabia,Asia,1999,20194527,234.93,94
United Arab Emirates,Asia,1999,2966034,81.06,32
Belgium,Europe,2000,10251250,116.98,58
Czech Republic,Europe,2000,10255063,122.55,41
France,Europe,2000,60912500,386.18,255
Germany,Europe,2000,82211508,829.72,337
Italy,Europe,2000,56942108,430.63,172
Netherlands,Europe,2000,15925513,179.49,75
Poland,Europe,2000,38258629,295.89,89
Portugal,Europe,2000,10289898,59.71,25
Romania,Europe,2000,22442971,87.33,36
Spain,Europe,2000,40567864,286.47,122
Sweden,Europe,2000,8872109,51,48
United Kingdom,Europe,2000,58892514,531.58,223
Norway,Europe,2000,4490967,33.03,26
Turkey,Asia,2000,63240194,202.84,76
Kazakhstan,Asia,2000,14883626,121.82,36
Russia,Asia,2000,146596869,1521.45,619
Ukraine,Europe,2000,49176500,308.77,134
Uzbekistan,Asia,2000,24650400,117.01,51
Canada,North America,2000,30685730,529.62,254
